Ticker,Company,Type,Flag
A,"AGILENT TECHNOLOGIES, INC",EQUITY D PENNIES TO 3.00,0
AA,ALCOA INC,EQUITY D PENNIES TO 3.00,0
AAL,American Airlines Group Inc.,EQUITY D PENNIES TO 3.00,0
AAPL,APPLE INC COM STK,EQUITY D PENNIES TO 3.00,0
ABT,ABBOTT LABORATORIES,EQUITY D PENNIES TO 3.00,0
ABX,BARRICK GOLD CORP,EQUITY D PENNIES TO 3.00,0
ACAS,"AMERICAN CAPITAL, LTD",EQUITY D PENNIES TO 3.00,0
ACI,"ARCH COAL, INC.",EQUITY D PENNIES TO 3.00,0
ADBE,ADOBE SYS INC (DE),EQUITY D PENNIES TO 3.00,0
ADM,ARCHER DANIELS MIDLAND CO,EQUITY D PENNIES TO 3.00,0
ADSK,AUTODESK INC (DE),EQUITY D PENNIES TO 3.00,0
AEM,AGNICO EAGLE MINES LTD,EQUITY D PENNIES TO 3.00,0
AET,AETNA INC.(NEW),EQUITY D PENNIES TO 3.00,0
AFL,AFLAC INC,EQUITY D PENNIES TO 3.00,0
AGNC,American Capital Agency Corp.,EQUITY D PENNIES TO 3.00,0
AGO,ASSURED GUARNATY LTD,EQUITY D PENNIES TO 3.00,0
AIG,AMERICAN INTL GROUP INC,EQUITY D PENNIES TO 3.00,0
AKAM,AKAMAI TECHNOLOGIES INC,EQUITY D PENNIES TO 3.00,0
AKS,AK STEEL HOLDING CORP,EQUITY D PENNIES TO 3.00,0
ALL,ALLSTATE CORP (THE),EQUITY D PENNIES TO 3.00,0
AMAT,APPLIED MATERIALS INC,EQUITY D PENNIES TO 3.00,0
AMD,"ADVANCED MICRO DEVICES, INC.",EQUITY D PENNIES TO 3.00,0
AMED,AMEDISYS INC,EQUITY D PENNIES TO 3.00,0
AMGN,AMGEN INC,EQUITY D PENNIES TO 3.00,0
AMRN,AMARIN CORP PLC ADS,EQUITY D PENNIES TO 3.00,0
AMZN,AMAZON COM INC,EQUITY D PENNIES TO 3.00,0
ANF,ABERCROMBIE & FITCH CO CL-A,EQUITY D PENNIES TO 3.00,0
ANTM,"Anthem, Inc. ",EQUITY D PENNIES TO 3.00,0
APA,APACHE CORP,EQUITY D PENNIES TO 3.00,0
APC,ANADARKO PETROLEUM CORP,EQUITY D PENNIES TO 3.00,0
APOL,"Apollo Education Group, Inc. Class A",EQUITY D PENNIES TO 3.00,0
ARNA,"ARENA PHARMACEUTICALS, INC.",EQUITY D PENNIES TO 3.00,0
ATVI,"Activision Blizzard, Inc.",EQUITY D PENNIES TO 3.00,0
AUY,YAMANA GOLD INC,EQUITY D PENNIES TO 3.00,0
AXP,AMERICAN EXPRESS COMPANY,EQUITY D PENNIES TO 3.00,0
BA,BOEING CO,EQUITY D PENNIES TO 3.00,0
BABA,Alibaba Group Holding Limited,EQUITY D PENNIES TO 3.00,0
BAC,BANK OF AMERICA CORP,EQUITY D PENNIES TO 3.00,0
BAX,BAXTER INTERNATIONAL INC,EQUITY D PENNIES TO 3.00,0
BBBY,BED BATH & BEYOND INC,EQUITY D PENNIES TO 3.00,0
BBD,BANCO BRADESCO ADS REP ONE PFD SH,EQUITY D PENNIES TO 3.00,0
BBRY,BlackBerry Limited,EQUITY D PENNIES TO 3.00,0
BBT,BB&T CORPORATION,EQUITY D PENNIES TO 3.00,0
BBY,BEST BUY CO INC,EQUITY D PENNIES TO 3.00,0
BCRX,BIOCRYST PHARMACEUTICALS INC,EQUITY D PENNIES TO 3.00,0
BHI,BAKER HUGHES INC,EQUITY D PENNIES TO 3.00,0
